,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,DraftYear
52,3,BOS,Kevin McHale,University of Minnesota,13,971,30118,17335,7122,1670,.554,.261,.798,31.0,17.9,7.3,1.7,113.0,.180,2.5,33.9,1980
53,4,CHI,Kelvin Ransey,Ohio State University,6,474,11586,5380,901,2480,.454,.132,.782,24.4,11.4,1.9,5.2,17.9,.074,-2.4,-1.3,1980
54,5,DEN,James Ray,Jacksonville University,3,103,843,334,228,76,.428,.333,.629,8.2,3.2,2.2,0.7,-0.3,-.017,-4.2,-0.5,1980
55,1,DAL,Mark Aguirre,DePaul University,13,923,27730,18458,4578,2871,.484,.312,.741,30.0,20.0,5.0,3.1,67.8,.117,1.3,22.7,1981
56,2,DET,Isiah Thomas,Indiana University,13,979,35516,18822,3478,9061,.452,.290,.759,36.3,19.2,3.6,9.3,80.7,.109,2.2,37.5,1981
57,3,NJN,Buck Williams,University of Maryland,17,1307,42464,16784,13017,1646,.549,.167,.664,32.5,12.8,10.0,1.3,120.1,.136,1.2,34.8,1981
58,4,ATL,Al Wood,University of North Carolina,6,417,9939,4902,1262,742,.465,.211,.789,23.8,11.8,3.0,1.8,15.4,.074,-1.8,0.5,1981
59,5,SEA,Danny Vranes,University of Utah,7,510,10624,2613,1998,594,.496,.105,.570,20.8,5.1,3.9,1.2,15.3,.069,-0.4,4.4,1981
60,1,LAL,James Worthy,University of North Carolina,12,926,30001,16320,4708,2791,.521,.241,.769,32.4,17.6,5.1,3.0,81.2,.130,1.8,28.5,1982
61,2,SDC,Terry Cummings,DePaul University,18,1183,33898,19460,8630,2190,.484,.295,.706,28.7,16.4,7.3,1.9,91.1,.129,0.9,24.9,1982
62,3,UTA,Dominique Wilkins,University of Georgia,15,1074,38113,26668,7169,2677,.461,.319,.811,35.5,24.8,6.7,2.5,117.5,.148,2.3,41.8,1982
63,4,DAL,Bill Garnett,University of Wyoming,4,300,5260,1638,1298,393,.490,.000,.720,17.5,5.5,4.3,1.3,10.8,.099,0.1,2.7,1982
64,5,KCK,LaSalle Thompson,University of Texas at Austin,15,985,21238,7806,6689,1139,.492,.154,.737,21.6,7.9,6.8,1.2,35.0,.079,-0.5,8.3,1982
65,1,HOU,Ralph Sampson,University of Virginia,9,456,13591,7039,4011,1038,.486,.172,.661,29.8,15.4,8.8,2.3,20.1,.071,0.0,6.8,1983
66,2,IND,Steve Stipanovich,University of Missouri,5,403,12591,5323,3131,938,.484,.179,.796,31.2,13.2,7.8,2.3,30.4,.116,1.1,9.9,1983
67,3,HOU,Rodney McCray,University of Louisville,10,768,24876,9014,5087,2750,.503,.260,.761,32.4,11.7,6.6,3.6,56.0,.108,1.6,23.0,1983
68,4,SDC,Byron Scott,Arizona State University,14,1073,30152,15097,2987,2729,.482,.370,.833,28.1,14.1,2.8,2.5,75.2,.120,0.4,18.6,1983
69,5,CHI,Sidney Green,"University of Nevada, Las Vegas",10,679,13247,5080,4128,635,.454,.037,.738,19.5,7.5,6.1,0.9,17.4,.063,-2.7,-2.5,1983
70,1,HOU,Hakeem Olajuwon,University of Houston,18,1238,44222,26946,13748,3058,.512,.202,.712,35.7,21.8,11.1,2.5,162.8,.177,4.9,77.1,1984
71,2,POR,Sam Bowie,University of Kentucky,10,511,14098,5564,3845,1075,.452,.302,.748,27.6,10.9,7.5,2.1,26.9,.091,0.0,7.2,1984
72,3,CHI,Michael Jordan,University of North Carolina,15,1072,41011,32292,6672,5633,.497,.327,.835,38.3,30.1,6.2,5.3,214.0,.250,8.1,104.4,1984
73,4,DAL,Sam Perkins,University of North Carolina,17,1286,36598,15324,7666,1975,.459,.362,.811,28.5,11.9,6.0,1.5,105.4,.138,1.4,31.4,1984
74,5,PHI,Charles Barkley,Auburn University,16,1073,39330,23757,12546,4215,.541,.266,.735,36.7,22.1,11.7,3.9,177.2,.216,7.4,93.5,1984
75,1,NYK,Patrick Ewing,Georgetown University,17,1183,40594,24815,11607,2215,.504,.152,.740,34.3,21.0,9.8,1.9,126.4,.150,2.0,40.9,1985
76,2,IND,Wayman Tisdale,University of Oklahoma,12,840,23868,12878,5117,1077,.505,.000,.760,28.4,15.3,6.1,1.3,45.7,.092,-2.0,0.0,1985
77,3,LAC,Benoit Benjamin,Creighton University,15,807,21911,9223,6063,1070,.497,.048,.721,27.2,11.4,7.5,1.3,32.7,.072,-1.3,4.0,1985
78,4,SEA,Xavier McDaniel,Wichita State University,12,870,25201,13606,5313,1775,.485,.261,.718,29.0,15.6,6.1,2.0,47.8,.091,0.1,13.4,1985
79,5,ATL,Jon Koncak,Southern Methodist University,11,784,16409,3520,3856,785,.470,.226,.597,20.9,4.5,4.9,1.0,29.2,.085,-0.1,8.0,1985
80,1,CLE,Brad Daugherty,University of North Carolina,8,548,20029,10389,5227,2028,.532,.143,.747,36.5,19.0,9.5,3.7,65.2,.156,2.6,23.1,1986
81,2,BOS,Len Bias,University of Maryland,,,,,,,,,,,,,,,,,,1986
82,3,GSW,Chris Washburn,North Carolina State University,2,72,645,222,176,22,.412,.000,.439,9.0,3.1,2.4,0.3,-0.6,-.046,-7.9,-1.0,1986
83,4,IND,Chuck Person,Auburn University,13,943,28941,13858,4763,2645,.458,.362,.723,30.7,14.7,5.1,2.8,38.9,.065,-0.2,12.9,1986
84,5,NYK,Kenny Walker,University of Kentucky,7,448,9050,3128,1793,299,.485,.206,.749,20.2,7.0,4.0,0.7,17.9,.095,-1.2,1.7,1986
85,1,SAS,David Robinson,United States Naval Academy,14,987,34271,20790,10497,2441,.518,.250,.736,34.7,21.1,10.6,2.5,178.7,.250,7.4,80.9,1987
86,2,PHO,Armen Gilliam,"University of Nevada, Las Vegas",13,929,26421,12700,6401,1088,.489,.000,.776,28.4,13.7,6.9,1.2,58.1,.106,-1.1,6.2,1987
87,3,NJN,Dennis Hopson,Ohio State University,5,334,7509,3633,939,539,.431,.271,.765,22.5,10.9,2.8,1.6,7.1,.046,-2.1,-0.3,1987
